Episode 141/1000, Reward: 1831.5211198642487
Episode 142/1000, Reward: 2372.17498767547
Episode 143/1000, Reward: 2048.2676763306754
Episode 144/1000, Reward: 1335.6758312018267
Episode 145/1000, Reward: 1253.1301150011411
Episode 146/1000, Reward: 1904.497926368514
Episode 147/1000, Reward: 2040.749264148939
Episode 148/1000, Reward: 2040.5734440150243
Episode 149/1000, Reward: 1901.125765833315
Episode 150/1000, Reward: 1644.7185915708458
Episode 151/1000, Reward: 1554.8567098371007
Episode 152/1000, Reward: 1403.735925003924
Episode 153/1000, Reward: 1976.5780590737184
Episode 154/1000, Reward: 1825.0629147358122
Episode 155/1000, Reward: 2365.8672454211714
Episode 156/1000, Reward: 2424.5657801314946
Episode 157/1000, Reward: 1741.2737718533053
Episode 158/1000, Reward: 2126.6718642263727
Episode 159/1000, Reward: 1753.5528383147214
Episode 160/1000, Reward: 1387.8827090342168
Episode 161/1000, Reward: 1914.942085133887
Episode 162/1000, Reward: 1859.379431411742
Episode 163/1000, Reward: 2090.0915477219883
Episode 164/1000, Reward: 1898.1637151187651
Episode 165/1000, Reward: 2698.1398932876295
Episode 166/1000, Reward: 925.2793577625306
Episode 167/1000, Reward: 1981.7321048251408
Episode 168/1000, Reward: 1257.5848964286247
Episode 169/1000, Reward: 2747.142719865918
Episode 170/1000, Reward: 1620.5878981968438
Episode 171/1000, Reward: 2138.911229440966
Episode 172/1000, Reward: 1058.028568231545
Episode 173/1000, Reward: 1587.2381859340467
Episode 174/1000, Reward: 1586.6053072153086
Episode 175/1000, Reward: 1499.6283045640748
Episode 176/1000, Reward: 981.665333277824
Episode 177/1000, Reward: 1925.1960900322879
Episode 178/1000, Reward: 1863.9971223301345
Episode 179/1000, Reward: 2120.326170814194
Episode 180/1000, Reward: 1811.679112044696
Episode 181/1000, Reward: 1937.9252143741307
Episode 182/1000, Reward: 2588.1998603026564
Episode 183/1000, Reward: 2227.8594059372153
Episode 184/1000, Reward: 1548.3161343471356
Episode 185/1000, Reward: 788.2017557293667
Episode 186/1000, Reward: 1964.4316041382367
Episode 187/1000, Reward: 1817.8982065950995
Episode 188/1000, Reward: 2177.3888994795398
Episode 189/1000, Reward: 1865.5472662813306
Episode 190/1000, Reward: 2319.911843790674
Episode 191/1000, Reward: 1464.8555074465576
Episode 192/1000, Reward: 2238.352333932859
Episode 193/1000, Reward: 2004.9893558780946
Episode 194/1000, Reward: 2062.52161797165
Episode 195/1000, Reward: 1821.489155374117
Episode 196/1000, Reward: 1850.0203824146665
Episode 197/1000, Reward: 1432.11392881034
Episode 198/1000, Reward: 1939.230998315808
Episode 199/1000, Reward: 2203.0181820515245
Episode 200/1000, Reward: 2004.4706828513126
Episode 201/1000, Reward: 2577.005176039118
Episode 202/1000, Reward: 1944.7730285492976
Episode 203/1000, Reward: 1749.7435860898547
Episode 204/1000, Reward: 2148.2698564238067
Episode 205/1000, Reward: 2096.441908735447
Episode 206/1000, Reward: 1536.6992260509437
Episode 207/1000, Reward: 1568.4374795471163
Episode 208/1000, Reward: 2202.2756295358745
Episode 209/1000, Reward: 1560.6235756372403
Episode 210/1000, Reward: 2016.08638591491
Episode 211/1000, Reward: 1945.2204899639623
Episode 212/1000, Reward: 1570.7581594750113
Episode 213/1000, Reward: 2169.379411079393
Episode 214/1000, Reward: 1821.6190861404982
Episode 215/1000, Reward: 1370.7430679401875
Episode 216/1000, Reward: 1567.175284496784
Episode 217/1000, Reward: 1755.837841078044
Episode 218/1000, Reward: 2090.1246368352945
Episode 219/1000, Reward: 2690.386342457103
Episode 220/1000, Reward: 1346.0700922955255
Episode 221/1000, Reward: 1285.0762559726284
